"Mois";;;"Jour";"Intitulé";"Rang";"Couleur";"Rang"
1;;;10;"S. Gregorii Nysseni, episcopi";;;12
1;;;15;"Ss. Mauri et Placidi, discipulorum S.P.N. Benedicti";"Memoria";"Blanc";10
1;;;17;"S. Antonii, abbatis.";"Memoria";"Blanc";10
1;;;26;"Ss. Toberti, Alberici et Stephani, abbatum Cisterciensum, O.N.";;;12
2;;;10;"S. Scholasticae, virginis, sororis S.P.N. Benedicti";"Festum";"Blanc";8
2;;;12;"S. Benedicti Anianensis, abbatis O.N.";"Memoria";"Blanc";12
3;;;9;"S. Franciscae Romanae, religiosae O.N.";"Memoria";"Blanc";10
3;;;21;"TRANSITUS S. PATRIS NOSTRI P. BENEDICTI";"Festum";"Blanc";8
4;;;21;"S. Anselmi, episcopi et Ecclesiae doctoris, O.N.";"Memoria";"Blanc";10
5;;;11;"SS. Odonis, Maioli, Odilonis, Hugonis et B. Petri Venerabilis, abbatum Cluniacensium, O.N.";"Memoria";"Blanc";10
5;;;25;"S. Beadae Venerabilis, presbyteri et Ecclesiae doctoris, O.N.";"Memoria";"Blanc";10
5;;;26;"S. Gregorii VII, papae, O.N.";;;12
5;;;26;"S. Mariae Mmagdalenae de Pazzi, virginis";;;12
5;;;26;"S. Philippi Neri, presbyteri.";;;12
5;;;27;"S. Augustini Cantuariensis, episcopi O.N.";;;12
7;;;11;"S. PATRIS NOSTRI BENEDICTI";"Sollemnitas maior";"Blanc";4
7;;;12;"S. Ioannis Gualbert, abbatis O.N.";;;12
8;;;19;"S. Bernardi Tolomei, abbatis O.N.";;;12
8;;;19;"S. Ioannis Eudes, presbyteri.";;;12
9;;;3;"S. Gregorii Magni, pape et Ecclesiae doctoris, O.N.";"Festum";"Blanc";8
9;;;29;"Ss. Michaelis et omnium angelorum";"Festum";"Blanc";7
10;;;2;"Ss. Angelorum custodum";;;12
10;;;4;"S. Francisci Assisiensis";"Memoria";"Blanc";10
10;;;6;"S. Brunonis, eremitae.";"Memoria";"Blanc";10
10;;;7;"Beatae Mariae Virginis a Rosario";"Memoria";"Blanc";10
11;;;8;"Omnium Sanctorum Ordinis S.P.N. Benedicti";"Memoria";"Blanc";10
11;;;11;"S. Martini Turonensis, espiscopi";"Festum";"Blanc";8
11;;;16;"S. Gertrudis, virginis, O.N.";"Memoria";"Blanc";10
11;;;19;"S. Mechtildis, virginis, O.N.";;;12
12;;;5;"S. Sabbae, abbatis";;;12
