"Mois";"libre";;"Jour";"Intitulé";"Rang";"Couleur";"Rang"
2;;;19;"St Jean-Pierre Néel, prêtre";;;12
2;;;27;"St Galmier, sous diacre";;;12
4;;;2;"St Nizier, évêque.";;;12
5;;;4;"St Jean-Louis Bonnard, prêtre et martyr";;"Rouge";11
5;;;23;"Anniversaire de la Dédicace de la Cathédrale ";"Festum";;8
6;;;2;"St Pothin, évêque et Ste Blandine, vierge et leurs compagnons, martyrs";"Festum";;8
6;;;6;"Bx Marcellin Champagnat, prêtre";"Memoria";"Blanc";11
6;;;16;"St Jean-François Régis, prêtre";;;12
9;;;2;"St Just, eveque de Lyon";;;12
9;;;28;"St Ennemond, évêque de Lyon";;;12
10;;;2;"Bx Antoine Chevier, prêtre";;;12
10;;;2;"Les Saints Anges Gardiens ";;;12
11;;;8;"Tous les saints du diocèse";;;12
12;;;26;"St Étienne, protomartyr";"Festum";"Rouge";8
;;;;"Notre Dame de Fourvière - samedi de la 2éme semaine de Pâques";;;
