;;;;;"Rang";"Couleur";"Rang"
1;;;30;"S. Bathildis, monialis";;;12
2;;;10;"S. Scholasticae, virginis, sororis S.P.N. Benedicti";"Sollemnitas";"Blanc";4
3;;;17;"Dédicace de la cathédrale de Vannes";"Festum";"Blanc";8
4;;;26;"S. Paschasii Radberti, abbatis";;;12
5;;;5;"S. Vincent Ferrier";"Memoria";"Blanc";10
5;;;15;"S. Pacôme";"Memoria";"Blanc";10
5;;;21;"S. Paterne";;;
7;;;6;"S. Annae";"Sollemnitas";"Blanc";4
7;;;9;"Beatae Mariae Virginis, Matris Providentiae";"Memoria";"Blanc";10
8;;;16;"S. Armagili, eremitae";"Memoria";"Blanc";10
10;;;16;"Apparitio S. Michaelis archangeli";"Festum";"Blanc";8
12;;;8;"In Conceptione Immaculata B. Mariae Virginis, patronae Congregationis Solesmensis.";"Sollemnitas";"Blanc";4
