"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang";
1;;"FR";3;"S. Genovefæ, virginis";;;12;
1;;"FR";15;"St Rémi, évêque";;;12;
1;;"FR";18;"S. Mariae-Bernardae Soubirous, virginis";;;;
5;;"FR";19;"St Yves, prêtre";;;12;
5;;"FR";30;"Ste Jeanne d’Arc, vierge";"Memoria";"Blanc";11;"patronne secondaire de la France"
6;;"FR";2;"Sts Pothin, évêque, Blandine, vierge et leurs compagnons, martyrs";;;12;
6;;"FR";4;"Ste Clotilde";;;12;
8;;"FR";15;"ASSOMPTION DE LA BIENHEUREUSE VIERGE MARIE";"Sollemnitas";"Blanc";3;"Patronne principale de la France"
8;;"FR";26;"St Césaire d'Arles, évêque";;;12;
10;;"FR";1;"Ste Thérèse de l’Enfant-Jésus, vierge et docteur de l'Église";"Memoria";"Blanc";11;"patronne secondaire de la France"
10;;"FR";25;"Dédicace des églises consacrées, dont la date n'est pas connue";"Sollemnitas";"Blanc";4;
